cik,Target,Acquiror,OperatingIncomeLoss.csv,Assets.csv,ProfitLoss.csv,Liabilities.csv,NetIncomeLoss.csv,StockholdersEquity.csv,Revenues.csv,EntityPublicFloat.csv,RevenueFromContractWithCustomerExcludingAssessedTax.csv
30625,0,0,#N/A,4708923000,#N/A,#N/A,60000000,1616427000,#N/A,#N/A,#N/A
30697,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,309901000,#N/A,#N/A
30831,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31107,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
31235,0,0,#N/A,1776000000,#N/A,1693000000,10000000,-73000000,432000000,#N/A,#N/A
31347,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7498000,#N/A,#N/A
31667,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30697600,#N/A,#N/A
31791,0,0,80442000,#N/A,#N/A,#N/A,#N/A,#N/A,566770000,#N/A,#N/A
31978,0,0,20470000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33185,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33213,0,1,-189466000,15472922000,-108785000,6353675000,-191958000,5860281000,#N/A,#N/A,#N/A
33488,0,0,3771000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33619,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
33769,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,112820000,#N/A,#N/A
34088,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34408,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34563,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,347100000,#N/A
34782,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34903,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,204109000,#N/A,#N/A
34956,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35214,1,1,#N/A,1283769000,-20595000,1028737000,-20936000,247113000,#N/A,#N/A,#N/A
35527,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36029,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36047,0,0,57596000,3907534000,#N/A,2904550000,3584000,1002984000,#N/A,#N/A,#N/A
36270,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36377,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36840,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12599000,#N/A,#N/A
37472,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,391665307,#N/A
37637,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
37808,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38074,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38079,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38725,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38777,0,0,586900000,16210300000,418800000,3122100000,440200000,11964800000,1560800000,#N/A,#N/A
39047,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39263,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39311,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39368,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39648,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39677,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39899,0,0,#N/A,8542725000,#N/A,5943455000,#N/A,2271418000,#N/A,#N/A,#N/A
39911,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40570,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40704,0,1,768900000,21602100000,495800000,16274600000,481800000,4180600000,#N/A,36148900000,#N/A
40729,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40987,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41719,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42228,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
43350,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
43920,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45012,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45876,1,1,#N/A,1581338000,#N/A,1443775000,#N/A,96301000,#N/A,#N/A,#N/A
45919,0,0,-34514000,#N/A,#N/A,#N/A,#N/A,#N/A,110107000,#N/A,#N/A
46080,1,1,255157000,5091366000,180599000,3205926000,192725000,1862736000,#N/A,#N/A,#N/A
46129,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46195,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46207,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46765,0,0,-49164000,6677637000,-35063000,#N/A,-35063000,4475915000,#N/A,#N/A,#N/A
47111,1,1,#N/A,5524333000,#N/A,4696646000,116853000,785856000,#N/A,#N/A,#N/A
47129,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47217,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12684000000,#N/A,#N/A
47307,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2356926,#N/A,#N/A
47518,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,637400000,#N/A,#N/A
48039,0,0,112292000,9435661000,#N/A,#N/A,53165000,#N/A,#N/A,#N/A,#N/A
48287,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48465,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48732,0,0,132000000,#N/A,#N/A,#N/A,#N/A,#N/A,731000000,#N/A,#N/A
49071,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12878000000,#N/A,#N/A
49615,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
49648,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
49728,0,0,-646000,#N/A,#N/A,#N/A,#N/A,#N/A,20976000,#N/A,#N/A
49754,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,154174000,#N/A,#N/A
49826,0,0,742000000,#N/A,507000000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
50104,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
50172,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
50725,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
50863,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51253,0,0,#N/A,4016984000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51434,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51548,0,0,51245000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51644,0,0,485700000,12485200000,336900000,10175700000,#N/A,2017100000,2264500000,#N/A,#N/A
52428,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52485,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52795,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52988,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2551604000,#N/A,#N/A
53669,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
54480,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,598500000,#N/A,#N/A
54507,0,1,#N/A,11487074000,57795000,#N/A,#N/A,#N/A,606535000,#N/A,#N/A
54681,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55387,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55785,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56047,0,0,56800000,4289895000,32858000,#N/A,32355000,#N/A,435650000,#N/A,#N/A
56679,0,0,30542000,1996551000,24378000,928549000,23897000,1065421000,394195000,#N/A,#N/A
56701,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5950766,#N/A
56868,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56873,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56978,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
57131,0,0,33572000,864600000,23642000,#N/A,23286000,#N/A,#N/A,#N/A,#N/A
57183,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
57528,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
58361,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,153989000,#N/A,#N/A
58492,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
58822,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
59255,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
59440,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
59478,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5760500000,#N/A,#N/A
59527,0,0,#N/A,1943437000,#N/A,1231231000,#N/A,711477000,#N/A,#N/A,#N/A
59558,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3255000000,#N/A,#N/A
60086,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3338000000,#N/A,#N/A
60519,0,0,#N/A,2031200000,#N/A,#N/A,#N/A,1195700000,#N/A,#N/A,#N/A
60549,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
60667,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
60714,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
61004,0,0,#N/A,16646000,#N/A,#N/A,#N/A,13891000,#N/A,#N/A,#N/A
61339,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
61398,1,0,-666000,39078000,-527000,24726000,#N/A,5599000,#N/A,#N/A,#N/A
