,source,target,weight
4609,1493,479,2.56
4610,1493,598,3.12
4611,1493,1458,2.96
4612,1493,1895,2
4613,1493,2906,2.96
4614,1493,3028,1.96
4615,1493,3667,2.56
4616,1493,4289,2.4
4617,1494,2616,3.12
4618,1494,3417,3.12
4619,1495,59,3.12
4620,1497,92,3.12
4621,1497,1951,2.12
4622,1497,2510,2.12
4623,1497,4193,2.96
4624,1498,2502,3.12
4625,1499,538,0.56
4626,1499,1406,0.96
4627,1499,1460,2.12
4628,1499,1944,0.32
4629,1499,2838,0.56
4630,1499,3175,2.4976
4631,1499,3931,2.12
4632,1500,399,2.12
4633,1500,532,2.12
4634,1500,1322,2.56
4635,1500,1409,2.56
4636,1501,473,2.56
4637,1501,1172,1.56
4638,1501,2554,2.12
4639,1502,32,1.96
4640,1502,38,2.56
4641,1502,104,2.12
4642,1502,441,1.1232
4643,1502,511,1.72
4644,1502,1240,2.56
4645,1502,1406,1.4
4646,1502,1737,1.0256
4647,1502,1840,2.56
4648,1502,1954,2.56
4649,1502,2337,3.12
4650,1502,3028,1.4
4651,1502,3859,2
4652,1502,3912,2.56
4653,1502,4289,2
4654,1503,2585,2.56
4655,1503,3503,3.12
4656,1504,2630,1.96
4657,1504,2690,11.36495094
4658,1505,799,3.12
4659,1507,1703,1.56
4660,1507,1814,1.56
4661,1507,2205,0.96
4662,1507,2619,1.96
4663,1507,3089,2.12
4664,1507,3588,0.72
4665,1507,3638,1.96
4666,1508,191,2.16
4667,1509,268,3.12
4668,1509,346,2.12
4669,1509,493,1.1232
4670,1509,2446,2.56
4671,1509,2555,3.12
4672,1509,3150,1.72
4673,1510,956,0.96
4674,1510,4291,1.56
4675,1511,233,3.12
4676,1511,234,1.72
4677,1511,666,1.96
4678,1511,1738,1.72
4679,1512,2132,0.32
4680,1512,2336,1.530714931
4681,1512,3872,4.368
4682,1512,4182,2.96
4683,1513,238,2.96
4684,1513,604,1.12
4685,1513,942,3.12
4686,1513,2473,2.56
4687,1515,1042,2.12
4688,1517,3060,1.56
4689,1517,3378,3.12
4690,1518,374,2.12
4691,1519,2272,1.72
4692,1520,1019,1.16
4693,1520,2078,0.15654912
4694,1520,3176,2.72
4695,1520,4178,5.8016
4696,1521,533,2.96
4697,1521,4035,2.8
4698,1522,453,2.6832
4699,1523,2735,2
4700,1523,3430,2
4701,1526,2979,2.8
4702,1527,1966,3.12
4703,1527,3549,3.12
4704,1528,1168,2.5232
4705,1528,1293,3.12
4706,1528,1394,2.56
4707,1528,1743,4.8672
4708,1528,3488,3.12
4709,1528,4012,2.12
4710,1529,1780,3.12
4711,1529,1977,3.12
4712,1529,2611,1.96
4713,1529,2684,3.12
4714,1529,2736,3.12
4715,1529,3161,2.96
4716,1530,510,1.12
4717,1530,770,3.12
4718,1530,1509,3.12
4719,1530,2555,3.12
4720,1530,3980,2.12
4721,1531,1396,3.12
4722,1531,1642,1.96
4723,1531,2304,3.3072
4724,1532,167,1.56
4725,1532,986,1.7472
4726,1532,1051,3.12
4727,1532,1069,2.4
4728,1532,1114,1.12
4729,1532,1785,2.12
4730,1533,206,2.52
4731,1533,231,2.96
4732,1533,299,2.96
4733,1533,804,2.96
4734,1533,1536,1.96
4735,1533,1737,1.56
4736,1533,2528,2.96
4737,1533,2716,1.96
4738,1533,2724,1.96
4739,1533,3097,2.4
4740,1533,3201,1.96
4741,1533,4251,2.4
4742,1534,504,1.72
4743,1534,732,1.56
4744,1534,1778,3.12
4745,1534,2198,1.96
4746,1534,2428,2.56
4747,1534,2756,2.96
4748,1534,3317,2.56
4749,1534,3325,3.12
4750,1534,3852,1.72
4751,1534,4295,1.4
4752,1536,509,1.72
4753,1536,1522,3.12
4754,1536,3243,3.12
4755,1537,446,1.32
4756,1537,846,0.32
4757,1538,268,3.12
4758,1538,1816,2.12
4759,1539,3643,1.16
4760,1540,2768,2.96
4761,1541,3213,0.32
4762,1542,452,3.9936
4763,1542,1234,1.72
4764,1542,2036,2.96
4765,1543,271,1.96
4766,1543,2070,3.12
4767,1543,2584,1.56
4768,1543,2773,3.12
4769,1543,3793,0.72
4770,1544,1808,1.12
4771,1545,975,1.16
4772,1545,1964,2.12
4773,1545,1990,1.72
4774,1545,2310,3.12
4775,1545,2493,3.12
4776,1545,2504,2.56
4777,1545,2693,3.12
4778,1545,2853,2.12
4779,1545,3597,2.12
4780,1547,64,2.12
4781,1547,1782,1.96
4782,1549,200,1.72
4783,1549,205,3.12
4784,1549,744,3.12
4785,1549,1779,3.12
4786,1549,1820,3.12
4787,1550,3804,3.12
4788,1551,39,1.16
4789,1551,354,1.72
4790,1552,1159,1.56
4791,1553,3030,2.56
4792,1554,1407,1.16
4793,1554,1697,1.56
4794,1554,4311,2.56
4795,1555,1746,3.12
4796,1556,113,1.16
4797,1556,1289,2.56
4798,1556,1788,59.65523981
4799,1557,984,0.32
4800,1558,4104,2.56
4801,1559,1603,1.12
4802,1561,877,2.12
4803,1562,1789,3.12
4804,1562,3128,1.96
4805,1563,1568,1.56
4806,1563,3472,1.12
4807,1564,4211,1.56
4808,1571,1037,1.56
4809,1571,1220,2.56
4810,1571,2740,2.12
4811,1571,3648,2.56
4812,1571,3827,2.12
4813,1572,3933,2.12
4814,1572,4079,3.12
4815,1573,3096,2
4816,1574,708,3.12
4817,1574,1882,1.96
4818,1574,1997,3.12
4819,1574,3538,3.12
4820,1575,381,2.96
4821,1576,96,0.32
4822,1576,151,1.72
4823,1576,214,1.72
4824,1576,410,1.72
4825,1576,1870,1.72
4826,1576,2461,0.32
4827,1576,2627,1.72
4828,1576,2863,1.72
4829,1576,3084,0.0512
4830,1576,4293,1.0256
4831,1577,919,0.32
4832,1577,2188,0.72
4833,1578,127,1.72
4834,1579,1314,0.72
4835,1579,2043,2.96
4836,1579,2847,0.059408384
4837,1579,3052,0.045645824
4838,1579,3655,0.059408384
4839,1579,4007,1.62304
4840,1579,4086,2.96
4841,1579,4087,2.96
4842,1579,4088,2.96
4843,1579,4286,2.56
4844,1580,535,0.351232
4845,1580,811,0.5376
4846,1581,9,1.56
4847,1581,245,1.56
4848,1581,1768,3.12
4849,1581,1789,3.12
4850,1581,2040,1.56
4851,1582,368,1.72
4852,1582,591,4.3936
4853,1582,694,1.8
4854,1582,908,3.12
4855,1582,1159,3.36
4856,1582,1239,2.96
4857,1582,1552,1.56
4858,1582,1903,2.8336
4859,1582,2236,2.96
4860,1582,3021,1.96
4861,1583,782,1.16
4862,1583,3313,3.245017688
4863,1583,3736,2.96
4864,1584,22,1.72
4865,1584,1192,1.72
4866,1584,1397,1.56
4867,1584,1598,1.72
4868,1584,1640,1.72
4869,1584,3965,1.72
4870,1585,1960,1.72
4871,1585,2412,1.72
4872,1585,3115,0.72
4873,1585,4168,1.56
4874,1586,1160,1.16
4875,1586,3934,2
4876,1587,38,3.12
